identifier,uploadLimit,authorizedFormOfName,contactPerson,streetAddress,telephone,email,fax,website,geoculturalContext,internalStructures,collectingPolicies,holdings,findingAids,openingTimes,accessConditions,disabledAccess,researchServices,reproductionServices,publicFacilities,maintenanceNote,descInstitutionIdentifier,descRevisionHistory,descSources,culture
daa/38,0,Australian Mutual Provident Society (AMP),Archives Officer,"14 Alfred Street, Sydney Cove 2000

Postal address:
GPO Box 4134, Sydney 2001",(02) 9257-5842,,(02) 9257-7178,http://www.amp.com.au/,,Officer in charge: Archives Officer,"All material that related to the history and development of the AMP Society, primarily material produced by AMP Society itself, but will consider material with significant content of relevance.","Annual report 1849-

Quantity: 300m (90% in-house)",,"Reference assistance available by mail or by telephone. Copying services available for books, journals and photographs.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/39,0,Australian National Maritime Museum,Registrar/Senior Curator,"Wharf 7, Maritime Heritage Centre, Murray Street, Pyrmont NSW 2009

Postal address:
GPO Box 5131, Sydney NSW 1042",(02) 9298-3777,,(02) 9298-3780,http://www.anmm.gov.au/,,Officer in charge: Records Manager,The Museum Archives hold both in-house material and archival material belonging to the National Maritime collection which documents Australia's maritime history. (25% in-house).,"Peninsular and Oriental Steam Navigation Co.: Records reflecting the ambit of the company's activities in Australia, cruise brochures, port notes, promotional material 1932-1983 (12m). L A D'Alpuget: Records relating to Australian yachting and sporting events 1914-1990 (4.8m). George (Wee Georgie) Robinson: Papers of the skipper of the champion skiff Britannia 1894-1987 (0.18m). Stewart Collection: Postcards and photographs ?-1946 (1m).",,Open Mon-Fri by appointment only. General reference assistance available.,"2 weeks' advance notice of visit required in writing with details and scope of material wanted. Access to ANMM's own records governed by Archives Act, 1983 (Commonwealth).",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/540,0,Australian National University Archives,University Archivist,"Building 2 (R G Menzies Building), Fellows Road, Australian National University, Canberra 0200

Postal address:
As above",(02) 6125-2219,university.archives@anu.edu.au,(02) 6125-0140,http://www.archives.anu.edu.au,,Officer in charge: University Archivist,"The University Archives holds records relating to the history of the Australian National University and to earlier institutions such as the Canberra University College, Mt Stromlo Observatory and the Australian Forestry School, from the 1920s.","Central files. 
	Minutes of Council and committees. 
	Photographs. 
	Oral history recordings 
	Papers of academic and senior staff 
	Staff files of senior staff 
	Publications such as Annual Reports, calendars and faculty handbooks

Quantity: 650m","List of Holdings: A summary list of major collections, updated regularly, is available at http://www.archives.anu.edu.au. Finding aids are available free of charge by mail or email. Some form of detailed listing (item level) is available for 99% of the collection.","Open Mon-Fri 9 am-5 pm. Closed weekends, public holidays and between Christmas and New Year. Please contact the Archives (by mail, email or telephone) before visiting. General reference assistance available. Copying services available. For list of professional researchers please refer to website.","Access to official ANU records will be granted in accordance with the provisions of the Archives Act 1983 (Commonwealth), that is, generally after 30 years. Specific access restrictions may apply to some collections of personal papers. An access agreement must be signed by all researchers.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/9,0,Australian National University Institute of the Arts,OIC Records Management,"Bauldissin Crescent, Acton 2601

Postal address:
PO Box 804, Canberra City 2601",(02) 6249-5852,,(02) 6249-5722,http://www.anu.edu.au/ITA/,,Officer in charge: OIC Records Management,To keep an accurate record of the history/dealings of the two schools involved. (90% in-house).,Canberra School of Music: Speeches 1975-1992; Committee meetings 1976-1992; Personal history (academic and student) 1976-1992 (20m); Council papers/committee meetings 1975-1986. Canberra School of Art: Personal history (academic and student) 1975-1992 (20m); Correspondence files 1976-1986. ANU Institute of the Arts: Correspondence files 1986-1992; Council papers/committee meetings 1986-1992 (5m).,,"Open 9am-5pm by appointment; closed public holidays. General reference assistance available. Copying services for books, journals, photographs, maps and plans. Referral to paid researchers available.",Advance notice of visit required with details of research subject. Proof of identity required. Closed period of 5 to 15 years applies to most records. Access to records not normally available for research requires authorisation from the OIC Records Management.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/10,0,"Australian National University Library, Rare Books and Manuscripts","Senior Librarian, Social Sciences and Humanities","Fellows Road, Acton, Canberra 2601",(02) 6249-3311,Dermid.McGrath@anu.edu.au,(02) 6249-0734,http://anulib.anu.edu.au/collections/rare.html,,"Officer in charge: Senior Librarian, Social Sciences and Humanities",,"References: McGrath, Dermid, 'The Manuscripts Collections of the Australian National University Library' Archives and Manuscripts, 9/2 (December 1981): 28-34.",,Open Mon-Fri 9am-5pm. No reference service available. Copying services available for original records to A3.,In some cases access can be gained by permission of donor only.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/532,0,Australian Red Cross National Archives,archive@redcross.org.au,"23-47 Villiers Street, North Melbourne, Victoria 3051

Postal address:
As above",(03) 8327 7941,archive@redcross.org.au,(03) 8327 7942,http://www.redcross.org.au/ourservices_acrossaustralia_RIS_default.htm,,Officer in charge: the Archivist,The focus of the Australian Red Cross Archives is on the records of the organisation from it's founding in 1914 to the present.,"The Collection includes Annual Reports, Minutes, World War II Prisoner of War index cards and a range of Australian Rec Cross publications and
correspondence files.",,,"Researchers are welcome to make an appointment with the Archivist to visit the Archives to conduct their own research. Alternatively, for those unable to visit the Archives in Melbourne, the Archivist will complete basic research in reply to researchers' queries.


Access to archival records in State offices can be arranged.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/572,0,Australian Rugby Union Archives,Archivist and Records Manager,"29-57 Christie Street, St Leonards, New South Wales, 2065

Postal address:
as above",02 8005 5555,archives@rugby.com.au,,www.rugby.com.au,,Officer in charge: Archivist and Records Manager,"Australian Rugby Union (corporate and players) and NSW Rugby Union (corporate and players) – includes paper based records, museum items, memorabilia, publications.","NSW Rugby Union, 1880 to present
	
	
	Australian Rugby Union, 1946 to present
	
	
	Various Rugby Players, 1880s to present

Quantity: About 250 linear shelf metres, plus a library of about 2,000 books",,"Monday to Thursday 9 – 5. Visits by appointment, preferable Monday or Tuesday. Mail, telephone and e-mails assistance available. There is no copying service. Rugby library available for research (no borrowing).",Corporate records are closed to external researchers. At the discretion of the Archivist and Executive exceptions can be made.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/390,0,Australian Science and Technology Heritage Centre,Director,"Old Arts Building, The University of Melbourne 3053

Postal address:
As above",(03) 8344-3304,austehc@asap.unimelb.edu.au,(03) 9349-4630,http://www.austehc.unimelb.edu.au/,,"Officer in charge: Director

See also: Australian Science and Technology Heritage Centre - Canberra Office","Austehc is a processing and information agency only, and holds records prior to their deposit in a permanent archive. Austehc has a major database of information relating to the distribution of science, medicine and technology records throughout Australia.","References: McCarthy, G J, 'Australian Homopolar Generator Records Saved' Newsletter IEEE; Center for the History of Electrical Engineering 15 (Summer 1987): 3 McCarthy, G J, 'Archival Solutions: The Australian Science Archives Project and the Records of the RACI' Chemistry in Australia 55/7 (July 1988): 243-245 McCarthy, G J, 'The Australian Science Archives Project: Its role, its future' Proceedings of the Sixth Biennial Conference of the Australian Society of Archivists (Perth 21-25 April 1987): 77-81.","Entries in National Library of Australia Guide to Collections of Manuscripts Relating to Australia. McCarthy, G J, Guide to the Archives of Science in Australia: Records of Individuals. Melbourne: D W Thorpe 1991. McCann, D, and McCarthy, G J, The Records of Ronald Gordon Giovanelli (1915-1984). Australian Science Archives Project, 1989. McCarthy, G J, The Records of Andrew Crowther Hurley (1926-1988). Australian Science Archives Project, 1989.","Open Mon-Fri by appointment. General reference assistance available. Copying services for books, journals and original records to A3 available. Introductory brochure available. Newsletter issued twice yearly. Assistance to researchers in relating records held elsewhere which may be of interest. Referral to paid researchers is available.","At least one week's advance notice of visit preferred, including scope of enquiry. Records are held pending arrangement and description; access can be authorised with agreement of owners/donors of records.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/475,0,Australian Science and Technology Heritage Centre - Canberra,Manager,"The Shine Dome, Gordon Street, Acton

Postal address:
GPO Box 783, Canberra, 2601",(02) 6257 9439,austehc.canb@asap.unimelb.edu.au,(02) 6257-9439,http://www.austehc.unimelb.edu.au/,,"Officer in charge: Manager

See also: Australian Science and Technology Heritage Centre","Austehc is a processing and information agency only, and holds records prior to their deposit in a permanent archive. Austehc has a major database of information relating to the distribution of science, medicine and technology records throughout Australia.",,Bright Sparcs - Information on Australian scientists Guide to the Records of Frank Macfarlane Burnet Guide to the Records of Lawrence Percival Coombs Guide to the Records of Edwin Sherbon Hills,"Open Thurs-Fri by appointment. General reference assistance available. Copying services for books, journals and original records to A3 available. Introductory brochure available. Newsletter issued twice yearly. Assistance to researchers in locating records held elsewhere which may be of interest. Referral to paid researchers is available.","At least one week's advance notice of visit preferred, including scope of enquiry. Records are held pending arrangement and description; access can be authorised with agreement of owners/donors of records.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/14,0,Australian Senate,Clerk of the Senate,"Parliament House, Canberra 2600

Postal address:
As above",,,,http://www.aph.gov.au/,,Officer in charge: Clerk of the Senate,To ensure that the records of the Senate are retained in accordance with the standing orders of the Senate.,The Senate: Bills 1901-,,"Open by appointment. General reference assistance available. Limited copying facilities for books, journals and original records to A3.",Advance notice of visit required. Access to records not usually available for research requires prior approval of the Clerk of the Senate.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/41,0,Australian Stock Exchange,"Manager, Research and Information","20 Bond Street, Sydney 2000

Postal address:
PO Box H224, Australia Square 2000",,asxlib@www.asx.com.au,(02) 9227-0485,,,"Officer in charge: Manager, Research and Information

Note: PLEASE NOTE: The above details here are for the use of archivists ONLY. 


All other enquires must please call: 131 279",The focus is on collecting historical information relating to the Stock Market in Australia.,Annual Reports (all Stock Exchanges),,Open by appointment only.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/15,0,Australian War Memorial Research Centre,Research Centre,"Treloar Crescent, Campbell 2601

Postal address:
GPO Box 345, Canberra 2601",(02) 6243-4315,info@awm.gov.au,(02) 6243-4545,http://www.awm.gov.au,,"Officer in charge: Manager, Research Centre","Personal, non-government organisations and official records (as they relate to the Defence Force) relating to all wars and warlike operations in which Australia has been involved. (Printed and ephemeral material relating to the same subject).","Department of the Army: AWM 95, Australian Army commanders' diaries 1965-1972 (55.84m). Australian War Memorial: AWM 54, Written records 1939-1945 War; 1939- (143m). Australian Red Cross Society: Prisoner of War Care Committee and Wounded and Missing Enquiry Bureau: Administrative files (1DRL/0428) 1915-1919 (137m). Australian War Museum Committee: AWM 26, Operations files 1914-1918 War, 1916-1918; (c114m). Department of Defence and Department of the Army: AWM 52, 2nd AIF (Australian Imperial Force) and CMF (Commonwealth Military Forces) unit war diaries, 1939-45 War, 1939-1946 (454m); AWM 25, Written records, 1914-1918 War, 1913-1920 (112.55m); AWM 8, Unit embarkation nominal rolls, 1914-1918 War, 1914-1919 (10m); AWM 28, Recommendation files for honours and awards, AIF, 1914-1918 War, 1915-1919 (8.3m); AWM 4, Australian Imperial Force unit war diaries, 1914-1918 War, 1914-1920 (122m). Charles Edwin Woodrow Bean and Official History, 1914-1918 War, AWM 38, Official History, 1914-1918 War; Records of CEW Bean, Official Historian 1914-1963 (22.9m).

Quantity: 7,349 m (ACA Australian Archival Statistics, 1998)

References: MacPherson, P & Piggott, M, 'Australian War Memorial' in Resources for Australian Studies in the ACT Canberra: CCAE, 1988): 102-126. Piggott, M, 'The Australian War Records Section and its Aftermath, 1917-1925' Archives and Manuscripts 8/2 (Dec 1980): 44-50. Creagh, Helen, 'Search and Re-Search: Operation Mitchell' Archives and Manuscripts 11/1 (May 1983): 7-13 Hoy, Marian and MacKnight, Lorraine, 'National Database Co-operation: A Case Study' Archives and Manuscripts 18/2 (Nov 1990): 231-242","Smith, Ian K., Records of war: a guide to the military history sources at the Australian War Memorial. Canberra: AWM, 1996. Roll Call! A Guide to Genealogical Sources in the Australian War Memorial. Canberra: AWM, 1986. Piggott, Michael, A Guide to the Personal, Family and Official Papers of CEW Bean. Canberra: AWM, 1983. Self, Bronwyn ,Guide to the Papers of Maurice Austin. July 1990. A Chronological Guide to Official Records in the Australian War Memorial's Collections. Canberra: AWM, 1993.",Opening hours 10am-5pm Mon-Fri; 1-5pm Sat.,Commonwealth Records - Archives Act 1983 applies. Access to other records depends on the donor's authorisation.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/221,0,Bank of Queensland Ltd,Secretary,"229 Elizabeth Street, Brisbane 4000

Postal address:
As above",(07) 3212-3333,,,,,Officer in charge: Secretary,History of Bank of Queensland Ltd from 1874 to present. (100% in-house).,,,Open by appointment only; closed public holidays and Bank Holidays.,One week's advance notice to visit required. Proof of identity required. Access to records not normally available for research can be gained by written request.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/437,0,Bank of Western Australia Ltd,Librarian,"108 St George's Terrace, Perth 6001

Postal address:
GPO Box E237, Perth 6001",13 17 18,,+61 8 9449 2570,,,Officer in charge: Librarian,Historical documents pertaining to the R & I Bank of Western Australia Ltd and subsidiary companies including the Agricultural Bank of W.A. (100% in-house).,,,Open by appointment; closed public holidays.,1 day advance notice of visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/42,0,Bankstown City Library and Information Service,Local Studies and Family History Technical Specialist,"62 The Mall, Bankstown 2200

Postal address:
PO Box 8, Bankstown 1885",(02) 9707-9728,,(02) 9707-9734,http://www.bankstowncity.nsw.gov.au,,Officer in charge: Local Studies and Family History Technical Specialist,"All publications (ie. monographs, pamphlets, photographs etc.) and information relating to the Bankstown City area, the area being defined by the city boundaries. Information relating to people, places, buildings and events.","Bankstown Council Business Paper/Minutes, reports - Microfilm 1895 to mid 1997, Print 1997 to present. Bankstown Canterbury Torch newspaper - Microfilm 1950 to present, Print 2 years back copies. Bankstown Canterbury Express newspaper - Microfilm October 24, 1984 to 2001, Print mid 2001 to present.",,"Open Mon-Fri 9am-8pm, Sat 9am-4pm, Sun 1-4pm; closed public holidays. Books, journals, photographs, newspapers, maps, plans. Copying services available.General reference assistance available.",Proof of identity required for the use of all Local Studies material.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/222,0,Baptist Union of Queensland,Honorary Archivist,"518 Brunswick Street, New Farm 4005

Postal address:
PO Box 2283, Fortitude Valley B.C. 4006",(07) 3254-1277,,(07) 3254-1545,,,Officer in charge: Executive Secretary,"Records of the central administration of the Baptist Denomination in Queensland. and some of its member churches. No family, baptismal, marriage or death records held. (100% in-house).",,,Open by appointment only.,Bona fide researchers only.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/43,0,Barker College,Archivist,"91 Pacific Highway, Hornsby 2077

Postal address:
As above",(02) 9847-8399,soneill@barker.nsw.edu.au,(02) 9476-1364,http://www.barker.nsw.edu.au/,,Officer in charge: Archivist,"Records (i.e. photographs, memorabilia, private papers) of Barker College, its staff and students.",Quantity: 100m (95% in-house).,,"Open all year (incl school holidays) Mon-Fri 8am-4pm. General reference assistance available. Copying services available for books, journals and original records to A3.","Access to the archives by appointment only, with at least one week's advance notice stating purpose of research. Access to records not normally available for research can be gained by authorisation from the School Council.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/315,0,"Barr Smith Library, Special Collections",Special Collections Librarian,"North Terrace, Adelaide 5000

Postal address:
GPO Box 498, Adelaide 5001",(08) 8303-5224,,(08) 8224-0464,,,Officer in charge: Special Collections Librarian,"Papers of staff and graduates of The University of Adelaide and of those associated with major areas of our book collections (especially, Theatre, Pacific, German settlers in Australia and Australian Aboriginal culture.","Bates, Daisy: Personal papers 1882-1947 (3m). Glennon, Keith: Papers re history of dance in Australia 1913-1970 (4m). German Settlers: Papers 1850-1962 (1.5m). Harris, Max: Papers re Angry Penguins and Ern Malley Hoax 1935-67, 1987-89 (0.8m). Symon, FAN: Theatre Programmes Collections 1879-1976 (10m). Oliphant, Sir Mark: Personal Papers 1896-1983 (17m). Crocker, Sir Walker: Personal Papers 1902-90 (26m). Adelaide University Theatre Guild: Records 1940- (8m). Maude, HE & HC: Papers (Pacific History) 1904-84 (4.5m). Fisher, Sir Ronald: Correspondence 1911-62 (4.5m). Schwerdtfeger, Hans: Papers (mathematics) 1927-90 (4m).

Quantity: 200m (80% in-house).

References: Woodburn, Susan, 'The Pacific Collection of the University of Adelaide' Pacific Archives Journal No 6 (June 1988): 36-44.","Hoskin, Cheryl, Guide to the Special Collections of the Barr Smith Library of the University of Adelaide. Adelaide, The University of Adelaide, 1990 Entries in National Library of Australia Guide to Collections of Manuscripts Relating to Australia.","Open Mon-Fri 1-4pm; closed weekends, public holidays and Christmas - New Year period. General reference assistance available. General copying services available. Introductory brochure available.",Proof of identity required. Restrictions imposed on some material by donors.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/44,0,Barranjoey Historical Resources Centre,,"Cottage 2, Barranjoey Lighthouse, Palm Beach NSW 2108

Postal address:
PO Box 5, Palm Beach, Sydney 2108",(02) 9974-5624 / 9977-6617,,(02) 9974-4094,,,,"The collection focuses on the history of the Barranjoey light station and the surrounding area (Palm Beach), including flora, fauna, weather (25% in-house).","J Sparks: Correspondence 1968- ; Log books, diaries 1972- ; Newspaper clippings; Photographs; magazines; booklets; reports.

References: Sparks, Jervis, Tales from Barranjoey 1992",Entries in National Library of Australia Guide to Collections of Manuscripts Relating to Australia. Index with Pittwater and Warringah Shire Libraries.,Open by appointment. General reference assistance available. No copying services. Introductory brochure available.,Advance notice of visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/405,0,Benedictine Community of New Norcia Inc,Archivist,"New Norcia 6509

Postal address:
As above",(08) 9654-8018,archives@newnorcia.wa.edu.au,(08) 9654-8097,http://www.newnorcia.wa.edu.au/archives.html,,Officer in charge: Archivist,All material relating to the Benedictine Community at/from New Norcia.,"Benedictine Community of New Norcia: Marriage, Baptism, Burial 1846-; Maps 1846-1970; Photographs 1850- ; Community Diaries 1901-present; Reports to Propaganda 1850-1970. 
	
	
	
	
	
	
	Bp Rosendo Salvado: Diaries 1846-1900; Correspondence 1846-1900.
	
	
	
	
	Bp Fulgentius Torres: Diaries 1901-1914; Correspondence 1901-1914.
	
	
	
	
	Abbot Anselm Catalan: Correspondence 1914-1959.

Quantity: 475 shelf metres (99% in-house).

References: Sharman, R C and Clyde, A, 'Western Perspectives' ALIA Western Australia, 1990. 
	
	
	
	
	Symons, J, Photographic Resources of Australia 1990, Symons & Co., 1989. 
	
	
	
	
	James, T, Archives and Manuscripts, 13/1 (May 1985). 
	
	
	
	
	Pearce, W G, Archives and Manuscripts, 23/1 (May 1995)",,Open by appointment. General reference assistance available. Copying services available at cost.,Permission for access forms available on application. Allow one month to process application for access - authorised by Superior of the Benedictine Community. Proof of identity required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/45,0,Benevolent Society of New South Wales,Executive Director,"171 Glenmore Road, Paddington 2021

Postal address:
PO Box 171, Paddington 2021",(02) 9339-4090,,(02) 9360-2319,http://www.bensoc.asn.au/,,Officer in charge: Executive Director,"Records of the Benevolent Society and related subsidiaries: Royal Hospital for Women - Paddington, Scarba, Community Services. (100% in-house).","Benevolent Society of New South Wales: Minutes 1955- ; Correspondence 1955- ; Reports 1955- . Early records of the Benevolent Society are deposited in the Mitchell Library, State Library of New South Wales.",,"Open by appointment. Reference assistance available in person and by mail. Copying services available for original records to A3, microfilms, photographs, maps and plans.",Advance notice of visit required. Proof of identity required. Closed period of 30 years applies to most records. Access to records not normally available for research can be gained by authorisation from the Secretary.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/534,0,Berri & Districts Local Heritage Collection,jacque.zagotsis@mi.tafe.sa.edu.au,"Berri Library & Information Centre, Kay Avenue, Berri, S.A., 5343

Postal address:
As above",08 85 95 2666,jacque.zagotsis@mi.tafe.sa.edu.au,08 85 95 2668,http://www.riverland.net.au/~bbc/berrilibrary/,,Officer in charge: Local and Family History Officer: Jacque Zagotsis,"Collection contains books, photographs, ephemera pertaining to Riverland District, particularly Berri Barmera Council area. Also have a family history collection, with books, CDRoms and Original Death Certificates for the District of Murray.",,,"Open daily, Local History Officer not available on Tuesdays and some Saturdays.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/46,0,Berrima District Historical and Family History Society,The Secretary,"'Old Council Chambers', Corner Bowral Road, Mittagong 2575

Postal address:
PO Box 131, Mittagong NSW 2575",,,,,,Officer in charge: Archivist,,Photographs 1850-,,"Open Mon, Tues and Sat 10am-4pm, closed Public Holidays. General reference assistance available. Research and library and copying services available.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/47,0,Berry and District Historical Society,"Research Secretary, 13 King Street, Berry","135 Queen Street, Berry 2535

Postal address:
13 King Street, Berry 2535/PO Box 153, Berry 2535",(02) 4464-1062,,,http://www.berryhistory.org.au/,,Officer in charge: President,Material relating to the Berry District. (60% in-house),"Local Associations: Minute books. Local business: Records. Local Newspaper - South Coast Register: Microfilm 1926-1967, file copies 1968-1972. Hospital records: Records book 1922-1988. Berry Papers: Microfilm. Family history: Records.",,"Open by appointment. General reference assistance available. Copying services available for books, journals, photographs, newspapers, maps and plans, by arrangement locally.",Advance notice of visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/406,0,Beverley Historical Society,President,"Hunt Road, Beverley 6304

Postal address:
As above",(08) 9646-1149 / 9646-1273,,,,,Officer in charge: President,The Society collects material relating to the district and people associated with it -mainly family histories.,,,Open Sun 11am-4pm March to November inclusive.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/338,0,Bible College of Victoria,Librarian,"Albert Hill Road, Lilydale 3140

Postal address:
PO Box 380, Lilydale 3140",(03) 9735 8223,,(03) 9735-0721,http://www.bcv.vic.edu.au,,Officer in charge: Librarian,The collection focus is on material of a missiological nature deposited by various mission organisations and agencies working both within Australia and overseas.,,,Open by appointment only. General reference assistance available. Copying services for books and journals available.,Access form must be completed; one week (minimum) should be allowed for approval. Closed period of 25 years applies for records of Bible College of Victoria. Access to records not normally available for research can be gained subject to approval by Principal.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/49,0,Bland District Historical Society,Research Officer,"16 Main Street, West Wyalong 2671

Postal address:
PO Box 232, West Wyalong 2671",(02) 6972-2957,,,,,Officer in charge: Research Officer,Archives focuses on records related to people who lived in Bland District.,,,Open 2:30pm-5pm daily. General reference assistance available. Copying services available for microfilms and photographs.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/339,0,Blessed Sacrament Congregation and St Francis Church Heritage Centre,Provincial Archivist,"St Francis Church, 326 Lonsdale Street, Melbourne 3000

Postal address:
As above",(03) 9631-5017,,(03) 9663-2817,,,Officer in charge: Provincial Archivist,"Records relating to the Blessed Sacrament Congregation in Australia, India and Sri Lanka since the foundation of the congregation in Australia in 1929 at St. Francis Church, Melbourne. Records relating to St. Francis Church from at least 1929. There are a few early records of the church prior to 1929. There are no baptisman, marriage and other registers held in the archives. All those records can be found with the Archdiocese of Melbourne, St Patrick's Cathedral, East Melbourne.","Minutes of various houses, council and provincial meetings. 
	Books on the Founder of the Congregation, St. Peter Julian Eymard. 
	Liturgical publications. 
	3D itms recovered from the restoration of St. Francis Church. 
	Vestments and other textiles (pre Vatican Council II). 
	Architectural drawings of alterations to St. Francis Church.

Quantity: 145 shelf metres of books, paper records, and film and sound recordings (100% in-house).",,"Open by appointment, usually on Wednesdays and Fridays, other times can be negotated. Photographs can be copied. A4 and A3 photocopy facilities are also available for most paper documents. New storage facility just opened late 1998.",All records are closed until requested. They are then assessed by the Provincial Archivist to see if they are available to the public. All records held in the archives are available to the members of the Congregation of the Blessed Sacrament.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/50,0,"Blue Mountains City Library, Local Studies Collection",Local Studies Librarian,"Macquarie Road, Springwood 2777

Postal address:
As above",(02) 4751-0744,,(02) 4751-0752,http://www.bmcc.nsw.gov.au/,,Officer in charge: Local Studies Librarian,"Material relating to the Blue Mountains, NSW.","Katoomba Municipality: Rate and valuation records 1889-1934 (Microfiche). Blue Mountains Shire Council: Rate and valuation records 1907-1947 (Microfiche). Various: Newspapers 1882-1991 (Microfilm 6.3m); Photographs 1870s- (10m).

Quantity: 150m (20% in-house).",,Open Mon-Fri 10am-5:30pm by appointment; closed public holidays and 1-2pm for lunch. General reference assistance available. General copying services available. Introductory brochure available.,1 day's advance notice of visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/498,0,Bob Hawke Prime Ministerial Library,Manager,"Hawke Building, University of South Australia, City West Campus, 50-60 North Terrace, Adelaide, 5000

Postal address:
GPO Box 2471, Adelaide, SA 5001",(08) 8302-0318,margaret.goedhart@unisa.edu.au,(08) 8302-0280,http://www.library.unisa.edu.au/bhpml/,,Officer in charge: Manager,"The BHPML is a specialist research and educational facility with primary and secondary resources. As Australia’s first prime ministerial library for a living prime minister, the BHPML focuses on the public contribution of Australia’s longest serving Labor Party Prime Minister, Robert James Lee Hawke 1983-1991, providing and managing a unique and accessible repository of archival records, published materials and memorabilia in all formats relevant to the life and time of Bob Hawke. 

In addition the BHPML has focused on two designated colleagues from the Hawke Ministries, Rosemary Crowley and Chris Hurford","The BHPML archival collection contains the unpublished papers and other records of Bob Hawke with the major collection being original documents consisting of private papers, not deemed Commonwealth or State records. The archival collection is predominantly paper based but does include photographs, newspaper cuttings, posters, sound recordings and other audiovisual materials related to Bob Hawke.
	The Library has also acquired the personal papers, photographs and memorabilia of South Australian former federal parliamentarians Senator Rosemary Crowley and Chris Hurford, MHR.
	The Library has a collection of published materials, primary and secondary reference sources and realia.

Quantity: 186 m archival records; 45 m government and published material",,"The BHPML Research Room is open Mon-Fri 9.00am – 5.00pm or by appointment with the Library Manager via mail, email or telephone General reference assistance available. Copying services available.",This is a closed access collection with all items not for loan. An access agreement application must be signed by all researchers together with details of proposed research project. School and community group visits must provide two weeks notice and book a time to visit.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/261,0,Botanic Gardens of Adelaide and State Herbarium,Librarian,"North Terrace, Adelaide 5000

Postal address:
As above",,,,,,Officer in charge: Librarian,"Staff records, photographs of the Gardens, records of purchases, accessions and biographical information of historical importance.",Various photographers: Photographs c1870- . Botanic Gardens: Minutes of Board 1855- (0.5m); Staff records 1855- . Accounts 1855- .,,Open by appointment. Reference assistance available in person and by mail. No copying services available.,Approval in writing must be obtained for access. Advance notice of visit required and reasons for access.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/340,0,Box Hill Hospital,Director of Public Relations,"Nelson Road, Box Hill 3128

Postal address:
As above",(03) 9895-3246,,(03) 9895-3268,,,Officer in charge: Director of Public Relations,Events and photographs; annual reports and newsletters.,Box Hill Hospital: Annual Reports 1956- . Public Relations Department : Newsletters; photographs .,,Open daily 3pm-8pm. No reference service or copying services available. Introductory brochure available.,Minimum age 16 years. One week's advance notice of visit required. Proof of identity required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/407,0,Bridgetown Historical Society,Secretary,"PO Box 498, Bridgetown 6255

Postal address:
As above",(08) 9761-1743,,,,,Officer in charge: Secretary,,,,,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
